ID,fertilizer_price_index_all,fertilizer_price_index_nitrogen,fertilizer_price_index_phosphate,type
1900-04,2.729975004,9.306416705,1,predicted
1900-05,2.744119954,9.310950799,1,predicted
1900-06,2.758264903,9.315484892,1,predicted
1900-07,2.772409853,9.320018986,1,predicted
1900-08,2.786554802,9.32455308,1,predicted
1900-09,2.800699752,9.329087173,1,predicted
1900-10,2.814844702,9.333621267,1,predicted
1900-11,2.828989651,9.338155361,1,predicted
1900-12,2.843134601,9.342689455,1,predicted
1901-01,2.857279551,9.347223548,1,predicted
1901-02,2.8714245,9.351757642,1,predicted
1901-03,2.88556945,9.356291736,1,predicted
1901-04,2.899714399,9.360825829,1,predicted
1901-05,2.913859349,9.365359923,1,predicted
1901-06,2.928004299,9.369894017,1,predicted
1901-07,2.942149248,9.374428111,1,predicted
1901-08,2.956294198,9.378962204,1,predicted
1901-09,2.970439148,9.383496298,1,predicted
1901-10,2.984584097,9.388030392,1,predicted
1901-11,2.998729047,9.392564485,1,predicted
1901-12,3.012873996,9.397098579,1,predicted
1902-01,3.027018946,9.401632673,1,predicted
1902-02,3.041163896,9.406166767,1,predicted
1902-03,3.055308845,9.41070086,1,predicted
1902-04,3.069453795,9.415234954,1,predicted
1902-05,3.083598745,9.419769048,1,predicted
1902-06,3.097743694,9.424303141,1,predicted
1902-07,3.111888644,9.428837235,1,predicted
1902-08,3.126033593,9.433371329,1,predicted
1902-09,3.140178543,9.437905423,1,predicted
1902-10,3.154323493,9.442439516,1,predicted
1902-11,3.168468442,9.44697361,1,predicted
1902-12,3.182613392,9.451507704,1,predicted
1903-01,3.196758342,9.456041797,1,predicted
1903-02,3.210903291,9.460575891,1,predicted
1903-03,3.225048241,9.465109985,1,predicted
1903-04,3.23919319,9.469644079,1,predicted
1903-05,3.25333814,9.474178172,1,predicted
1903-06,3.26748309,9.478712266,1,predicted
1903-07,3.281628039,9.48324636,1,predicted
1903-08,3.295772989,9.487780453,1,predicted
1903-09,3.309917939,9.492314547,1,predicted
1903-10,3.324062888,9.496848641,1,predicted
1903-11,3.338207838,9.501382735,1,predicted
1903-12,3.352352787,9.505916828,1,predicted
1904-01,3.366497737,9.510450922,1,predicted
1904-02,3.380642687,9.514985016,1,predicted
1904-03,3.394787636,9.519519109,1,predicted
1904-04,3.408932586,9.524053203,1,predicted
1904-05,3.423077536,9.528587297,1,predicted
1904-06,3.437222485,9.533121391,1,predicted
1904-07,3.451367435,9.537655484,1,predicted
1904-08,3.465512384,9.542189578,1,predicted
1904-09,3.479657334,9.546723672,1,predicted
1904-10,3.493802284,9.551257765,1,predicted
1904-11,3.507947233,9.555791859,1,predicted
1904-12,3.522092183,9.560325953,1,predicted
1905-01,3.536237133,9.564860047,1,predicted
1905-02,3.550382082,9.56939414,1,predicted
1905-03,3.564527032,9.573928234,1,predicted
1905-04,3.578671981,9.578462328,1,predicted
1905-05,3.592816931,9.582996421,1,predicted
1905-06,3.606961881,9.587530515,1,predicted
1905-07,3.62110683,9.592064609,1,predicted
1905-08,3.63525178,9.596598703,1,predicted
1905-09,3.64939673,9.601132796,1,predicted
1905-10,3.663541679,9.60566689,1,predicted
1905-11,3.677686629,9.610200984,1,predicted
1905-12,3.691831578,9.614735077,1,predicted
1906-01,3.705976528,9.619269171,1,predicted
1906-02,3.720121478,9.623803265,1,predicted
1906-03,3.734266427,9.628337359,1,predicted
1906-04,3.748411377,9.632871452,1,predicted
1906-05,3.762556327,9.637405546,1,predicted
1906-06,3.776701276,9.64193964,1,predicted
1906-07,3.790846226,9.646473733,1,predicted
1906-08,3.804991175,9.651007827,1,predicted
1906-09,3.819136125,9.655541921,1,predicted
1906-10,3.833281075,9.660076015,1,predicted
1906-11,3.847426024,9.664610108,1,predicted
1906-12,3.861570974,9.669144202,1,predicted
1907-01,3.875715924,9.673678296,1,predicted
1907-02,3.889860873,9.678212389,1,predicted
1907-03,3.904005823,9.682746483,1,predicted
1907-04,3.918150773,9.687280577,1,predicted
1907-05,3.932295722,9.691814671,1,predicted
1907-06,3.946440672,9.696348764,1,predicted
1907-07,3.960585621,9.700882858,1,predicted
1907-08,3.974730571,9.705416952,1,predicted
1907-09,3.988875521,9.709951045,1,predicted
1907-10,4.00302047,9.714485139,1,predicted
1907-11,4.01716542,9.719019233,1,predicted
1907-12,4.03131037,9.723553327,1,predicted
1908-01,4.045455319,9.72808742,1,predicted
1908-02,4.059600269,9.732621514,1,predicted
1908-03,4.073745218,9.737155608,1,predicted
1908-04,4.087890168,9.741689701,1,predicted
1908-05,4.102035118,9.746223795,1,predicted
1908-06,4.116180067,9.750757889,1,predicted
1908-07,4.130325017,9.755291983,1,predicted
1908-08,4.144469967,9.759826076,1,predicted
1908-09,4.158614916,9.76436017,1,predicted
1908-10,4.172759866,9.768894264,1,predicted
1908-11,4.186904815,9.773428357,1,predicted
1908-12,4.201049765,9.777962451,1,predicted
1909-01,4.215194715,9.782496545,1,predicted
1909-02,4.229339664,9.787030639,1,predicted
1909-03,4.243484614,9.791564732,1,predicted
1909-04,4.257629564,9.796098826,1,predicted
1909-05,4.271774513,9.80063292,1,predicted
1909-06,4.285919463,9.805167013,1,predicted
1909-07,4.300064412,9.809701107,1,predicted
1909-08,4.314209362,9.814235201,1,predicted
1909-09,4.328354312,9.818769295,1,predicted
1909-10,4.342499261,9.823303388,1,predicted
1909-11,4.356644211,9.827837482,1,predicted
1909-12,4.370789161,9.832371576,1,predicted
1910-01,4.38493411,9.836905669,1,predicted
1910-02,4.39907906,9.841439763,1,predicted
1910-03,4.413224009,9.845973857,1,predicted
1910-04,4.427368959,9.850507951,1,predicted
1910-05,4.441513909,9.855042044,1,predicted
1910-06,4.455658858,9.859576138,1,predicted
1910-07,4.469803808,9.864110232,1,predicted
1910-08,4.483948758,9.868644325,1,predicted
1910-09,4.498093707,9.873178419,1,predicted
1910-10,4.512238657,9.877712513,1,predicted
1910-11,4.526383606,9.882246607,1,predicted
1910-12,4.540528556,9.8867807,1,predicted
1911-01,4.554673506,9.891314794,1,predicted
1911-02,4.568818455,9.895848888,1,predicted
1911-03,4.582963405,9.900382981,1,predicted
1911-04,4.597108355,9.904917075,1,predicted
1911-05,4.611253304,9.909451169,1,predicted
1911-06,4.625398254,9.913985263,1,predicted
1911-07,4.639543203,9.918519356,1,predicted
1911-08,4.653688153,9.92305345,1,predicted
1911-09,4.667833103,9.927587544,1,predicted
1911-10,4.681978052,9.932121637,1,predicted
1911-11,4.696123002,9.936655731,1,predicted
1911-12,4.710267952,9.941189825,1,predicted
1912-01,4.724412901,9.945723919,1,predicted
1912-02,4.738557851,9.950258012,1,predicted
1912-03,4.7527028,9.954792106,1,predicted
1912-04,4.76684775,9.9593262,1,predicted
1912-05,4.7809927,9.963860293,1,predicted
1912-06,4.795137649,9.968394387,1,predicted
1912-07,4.809282599,9.972928481,1,predicted
1912-08,4.823427549,9.977462575,1,predicted
1912-09,4.837572498,9.981996668,1,predicted
1912-10,4.851717448,9.986530762,1,predicted
1912-11,4.865862397,9.991064856,1,predicted
1912-12,4.880007347,9.995598949,1,predicted
1913-01,4.894152297,10.00013304,1,predicted
1913-02,4.908297246,10.00466714,1,predicted
1913-03,4.922442196,10.00920123,1,predicted
1913-04,4.936587146,10.01373532,1,predicted
1913-05,4.950732095,10.01826942,1,predicted
1913-06,4.964877045,10.02280351,1,predicted
1913-07,4.979021994,10.02733761,1,predicted
1913-08,4.993166944,10.0318717,1,predicted
1913-09,5.007311894,10.03640579,1,predicted
1913-10,5.021456843,10.04093989,1,predicted
1913-11,5.035601793,10.04547398,1,predicted
1913-12,5.049746743,10.05000807,1,predicted
1914-01,5.063891692,10.05454217,1,predicted
1914-02,5.078036642,10.05907626,1,predicted
1914-03,5.092181591,10.06361036,1,predicted
1914-04,5.106326541,10.06814445,1,predicted
1914-05,5.120471491,10.07267854,1,predicted
1914-06,5.13461644,10.07721264,1,predicted
1914-07,5.14876139,10.08174673,1,predicted
1914-08,5.16290634,10.08628082,1,predicted
1914-09,5.177051289,10.09081492,1,predicted
1914-10,5.191196239,10.09534901,1,predicted
1914-11,5.205341189,10.0998831,1,predicted
1914-12,5.219486138,10.1044172,1,predicted
1915-01,5.233631088,10.10895129,1,predicted
1915-02,5.247776037,10.11348539,1,predicted
1915-03,5.261920987,10.11801948,1,predicted
1915-04,5.276065937,10.12255357,1,predicted
1915-05,5.290210886,10.12708767,1,predicted
1915-06,5.304355836,10.13162176,1,predicted
1915-07,5.318500786,10.13615585,1,predicted
1915-08,5.332645735,10.14068995,1,predicted
1915-09,5.346790685,10.14522404,1,predicted
1915-10,5.360935634,10.14975814,1,predicted
1915-11,5.375080584,10.15429223,1,predicted
1915-12,5.389225534,10.15882632,1,predicted
1916-01,5.403370483,10.16336042,1,predicted
1916-02,5.417515433,10.16789451,1,predicted
1916-03,5.431660383,10.1724286,1,predicted
1916-04,5.445805332,10.1769627,1,predicted
1916-05,5.459950282,10.18149679,1,predicted
1916-06,5.474095231,10.18603089,1,predicted
1916-07,5.488240181,10.19056498,1,predicted
1916-08,5.502385131,10.19509907,1,predicted
1916-09,5.51653008,10.19963317,1,predicted
1916-10,5.53067503,10.20416726,1,predicted
1916-11,5.54481998,10.20870135,1,predicted
1916-12,5.558964929,10.21323545,1,predicted
1917-01,5.573109879,10.21776954,1,predicted
1917-02,5.587254828,10.22230364,1,predicted
1917-03,5.601399778,10.22683773,1,predicted
1917-04,5.615544728,10.23137182,1,predicted
1917-05,5.629689677,10.23590592,1,predicted
1917-06,5.643834627,10.24044001,1,predicted
1917-07,5.657979577,10.2449741,1,predicted
1917-08,5.672124526,10.2495082,1,predicted
1917-09,5.686269476,10.25404229,1,predicted
1917-10,5.700414425,10.25857638,1,predicted
1917-11,5.714559375,10.26311048,1,predicted
1917-12,5.728704325,10.26764457,1,predicted
1918-01,5.742849274,10.27217867,1,predicted
1918-02,5.756994224,10.27671276,1,predicted
1918-03,5.771139174,10.28124685,1,predicted
1918-04,5.785284123,10.28578095,1,predicted
1918-05,5.799429073,10.29031504,1,predicted
1918-06,5.813574022,10.29484913,1,predicted
1918-07,5.827718972,10.29938323,1,predicted
1918-08,5.841863922,10.30391732,1,predicted
1918-09,5.856008871,10.30845142,1,predicted
1918-10,5.870153821,10.31298551,1,predicted
1918-11,5.884298771,10.3175196,1,predicted
1918-12,5.89844372,10.3220537,1,predicted
1919-01,5.91258867,10.32658779,1,predicted
1919-02,5.926733619,10.33112188,1.000960883,predicted
1919-03,5.940878569,10.33565598,1.016323352,predicted
1919-04,5.955023519,10.34019007,1.031685821,predicted
1919-05,5.969168468,10.34472417,1.04704829,predicted
1919-06,5.983313418,10.34925826,1.062410758,predicted
1919-07,5.997458368,10.35379235,1.077773227,predicted
