DULUTH,NEW ORLEANS,SHREVEPORT,mean_col
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(176, 143, 207, 225, 290, 157, 248, 245, 246, 251, 211, 187, 2586)","(205, 148, 225, 221, 321, 328, 360, 331, 350, 292, 236, 177, 3194)","(190.5, 145.5, 216.0, 223.0, 305.5, 242.5, 304.0, 288.0, 298.0, 271.5, 223.5, 182.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(130, 136, 205, 233, 272, 234, 283, 248, 133, 216, 126, 187, 2403)","(88, 138, 208, 166, 278, 256, 345, 331, 233, 263, 154, 208, 2668)","(109.0, 137.0, 206.5, 199.5, 275.0, 245.0, 314.0, 289.5, 183.0, 239.5, 140.0, 197.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(168, 159, 191, 225, 220, 266, 229, 269, 176, 219, 192, 157, 2471)","(211, 179, 193, 195, 271, 280, 332, 313, 191, 208, 209, 173, 2755)","(189.5, 169.0, 192.0, 210.0, 245.5, 273.0, 280.5, 291.0, 183.5, 213.5, 200.5, 165.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(191, 116, 204, 191, 240, 206, 152, 262, 260, 140, 186, 189, 2337)","(142, 144, 272, 203, 300, 291, 317, 307, 244, 239, 201, 174, 2834)","(166.5, 130.0, 238.0, 197.0, 270.0, 248.5, 234.5, 284.5, 252.0, 189.5, 193.5, 181.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(123, 145, 196, 211, 246, 372, 268, 197, 271, 211, 191, 126, 2557)","(164, 178, 171, 277, 338, 366, 352, 287, 295, 250, 178, 159, 3015)","(143.5, 161.5, 183.5, 244.0, 292.0, 369.0, 310.0, 242.0, 283.0, 230.5, 184.5, 142.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(141, 143, 242, 299, 362, 308, 283, 269, 183, 271, 143, 163, 2807)","(185, 139, 213, 276, 305, 279, 315, 316, 276, 270, 140, 138, 2852)","(163.0, 141.0, 227.5, 287.5, 333.5, 293.5, 299.0, 292.5, 229.5, 270.5, 141.5, 150.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(-99, -99, -99, -99, -99, -99, -99, -99, -99, 239, 176, 154, -99)","(165, 162, 243, 208, 336, 274, 362, 341, 261, 227, 172, 171, 2922)","(165.0, 162.0, 243.0, 208.0, 336.0, 274.0, 362.0, 341.0, 261.0, 233.0, 174.0, 162.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(111, 188, 219, 233, 272, 245, 218, 248, 173, 275, 128, 136, 2446)","(142, 203, 257, 209, 300, 319, 321, 328, 233, 312, 195, 178, 2997)","(126.5, 195.5, 238.0, 221.0, 286.0, 282.0, 269.5, 288.0, 203.0, 293.5, 161.5, 157.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(126, 184, 228, 201, 284, 215, 181, 236, 255, 224, 133, 137, 2404)","(202, 200, 226, 199, 238, 284, 337, 258, 237, 300, 189, 156, 2826)","(164.0, 192.0, 227.0, 200.0, 261.0, 249.5, 259.0, 247.0, 246.0, 262.0, 161.0, 146.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(203, 151, 160, 225, 189, 285, 356, 303, 243, 252, 145, 167, 2679)","(203.0, 151.0, 160.0, 225.0, 189.0, 285.0, 356.0, 303.0, 243.0, 252.0, 145.0, 167.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(128, 164, 248, 182, 218, 287, 309, 228, 221, 253, 198, 135, 2570)","(128.0, 164.0, 248.0, 182.0, 218.0, 287.0, 309.0, 228.0, 221.0, 253.0, 198.0, 135.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(168, 170, 270, 192, 293, 314, 279, 274, 207, 255, 210, 144, 2776)","(168.0, 170.0, 270.0, 192.0, 293.0, 314.0, 279.0, 274.0, 207.0, 255.0, 210.0, 144.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(100, 199, 174, 190, 244, 251, 272, 280, 252, 238, 166, 161, 2527)","(100.0, 199.0, 174.0, 190.0, 244.0, 251.0, 272.0, 280.0, 252.0, 238.0, 166.0, 161.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(134, 161, 208, 236, 265, 364, 317, 271, 286, 225, 223, 167, 2858)","(134.0, 161.0, 208.0, 236.0, 265.0, 364.0, 317.0, 271.0, 286.0, 225.0, 223.0, 167.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(138, 167, 178, 156, 297, 312, 312, 296, 243, 180, 194, 139, 2612)","(138.0, 167.0, 178.0, 156.0, 297.0, 312.0, 312.0, 296.0, 243.0, 180.0, 194.0, 139.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(149, 196, 208, 220, 227, 299, 262, 232, 225, 200, 202, 103, 2525)","(149.0, 196.0, 208.0, 220.0, 227.0, 299.0, 262.0, 232.0, 225.0, 200.0, 202.0, 103.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(153, 171, 219, 212, 308, 264, 332, 323, 212, 215, 158, 125, 2693)","(153.0, 171.0, 219.0, 212.0, 308.0, 264.0, 332.0, 323.0, 212.0, 215.0, 158.0, 125.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(-99, -99, -99, -99, -99, -99, -99, 171, 179, 298, 255, 156, -99)","(137, 169, 152, 163, 327, 239, 323, 322, 230, 228, 196, 252, 2736)","(137.0, 169.0, 152.0, 163.0, 327.0, 239.0, 323.0, 246.5, 204.5, 263.0, 225.5, 204.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(76, 205, 232, 272, 226, 254, 242, 232, 210, 291, 204, 170, 2612)","(90, 208, 177, 259, 235, 315, 339, 264, 152, 238, 173, 142, 2590)","(83.0, 206.5, 204.5, 265.5, 230.5, 284.5, 290.5, 248.0, 181.0, 264.5, 188.5, 156.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(171, 168, 185, 196, 218, 255, 203, 183, 243, 213, 175, 167, 2377)","(168, 147, 151, 223, 234, 331, 338, 317, 279, 258, 224, 160, 2828)","(169.5, 157.5, 168.0, 209.5, 226.0, 293.0, 270.5, 250.0, 261.0, 235.5, 199.5, 163.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(201, 221, 191, 318, 262, 343, 286, 320, 268, 236, 190, 165, 3001)","(213, 214, 154, 228, 245, 239, 227, 306, 228, 212, 185, 184, 2634)","(207.0, 217.5, 172.5, 273.0, 253.5, 291.0, 256.5, 313.0, 248.0, 224.0, 187.5, 174.5)"
